TEAM	W	PTS	FGA	FG%	3PA	3P%	FTA	FT%	DREB	REB	AST	TOV	STL	BLK
Atlanta Hawks	43	113.9	88.3	47	34.4	37.4	22.3	81.2	33.9	44	24.6	11.9	7.2	4.2
Boston Celtics	51	111.8	87.4	46.6	37.1	35.6	20.9	81.6	35.5	46.1	24.8	13.6	7.2	5.8
Brooklyn Nets	44	112.9	88.4	47.5	31.7	36.1	21.7	80.5	34.1	44.4	25.3	14.1	7.1	5.5
Charlotte Hornets	43	115.3	91.4	46.8	38.2	36.5	21.4	74	33.7	44.6	28.1	13.3	8.6	4.9
Chicago Bulls	46	111.6	86.9	48	28.8	36.9	21.5	81.3	33.7	42.3	23.9	12.8	7.1	4.1
Cleveland Cavaliers	44	107.8	84.6	46.9	32.8	35.5	22.1	76	34	44.2	25.2	14.4	7.1	4.2
Dallas Mavericks	52	108	85.1	46.1	37.4	35	21.2	77.1	33.8	43	23.4	12.5	6.7	4
Denver Nuggets	48	112.7	86.3	48.3	35.9	35.3	21	79.5	34.9	44.1	27.8	14.5	7.2	3.7
Detroit Pistons	23	104.8	88.6	43.1	34.6	32.6	22	78.2	32	43	23.5	14.2	7.7	4.8
Golden State Warriors	53	111	86.4	46.9	39.4	36.4	20.3	76.9	35.7	45.5	27.1	14.9	8.8	4.5
Houston Rockets	20	109.7	86.4	45.6	38.7	34.9	24.5	71.3	32.4	42	23.6	16.5	7.3	4.7
Indiana Pacers	25	111.5	89.5	46.3	35.4	34.4	21.4	76.8	32.6	43.9	25.4	14.4	7.1	5.6
LA Clippers	42	108.4	87.4	45.8	34.2	37.4	19.6	79.3	34.9	44	24	13.7	7.4	5
Los Angeles Lakers	33	112.1	88.8	46.9	34.5	34.7	23	73.2	34.5	44	24	14.5	7.6	5.2
Memphis Grizzlies	56	115.6	94.4	46.1	32.7	35.3	23.1	73.4	35	49.2	26	13.2	9.8	6.5
Miami Heat	53	110	84.8	46.7	35.8	37.9	21.4	80.8	33.9	43.7	25.5	14.6	7.4	3.2
Milwaukee Bucks	51	115.5	89.4	46.8	38.4	36.6	22.9	77.6	36.5	46.7	23.9	13.4	7.6	4
Minnesota Timberwolves	46	115.9	91	45.7	41.3	35.8	23.1	77.8	32.9	44.2	25.7	14.3	8.8	5.6
New Orleans Pelicans	36	109.3	88	45.7	32.1	33.2	23.2	78.9	33.2	45.2	25	14.1	8.3	4
New York Knicks	37	106.5	86.2	43.7	36.9	35.7	24.1	74.4	34.6	46.1	21.9	13.3	7	4.9
Oklahoma City Thunder	24	103.7	89.1	43	37.4	32.3	19.9	75.6	35.2	45.6	22.2	14	7.6	4.6
Orlando Magic	22	104.2	88.3	43.4	36.9	33.1	19.7	78.7	35.2	44.3	23.7	14.5	6.8	4.5
Philadelphia 76ers	51	109.9	84.5	46.6	31.8	36.4	23.8	82.1	33.8	42.3	23.7	12.5	7.7	5.3
Phoenix Suns	64	114.8	90.1	48.5	31.9	36.4	19.9	79.7	35.5	45.3	27.4	12.9	8.6	4.4
Portland Trail Blazers	27	106.2	87.1	44.2	36.8	34.6	21.6	76	32.5	42.9	22.9	14.5	8	4.5
Sacramento Kings	30	110.3	88.1	46	33.2	34.4	23.3	76.8	33.4	42.9	23.7	14.1	7.2	4.5
San Antonio Spurs	34	113.2	92.7	46.7	32	35.2	20.4	75.4	34.3	45.3	27.9	12.7	7.6	4.9
Toronto Raptors	48	109.4	91.3	44.5	34.2	34.9	21.3	75.9	32	45.3	22.1	12.5	9	4.6
Utah Jazz	49	113.6	86.2	47.1	40.3	36	23.4	76.7	35.6	46.3	22.4	14	7.2	4.9
Washington Wizards	35	108.6	86	47.2	30.6	34.2	21.7	78.3	34.1	43.1	25	13.1	6.4	5